index,close
0.000000000000000000e+00,6.830599979999999505e+02
1.000000000000000000e+00,6.894299899999999752e+02
2.000000000000000000e+00,6.805599999999999454e+02
3.000000000000000000e+00,6.859099700000000439e+02
4.000000000000000000e+00,6.952399900000000343e+02
5.000000000000000000e+00,6.883900099999999611e+02
6.000000000000000000e+00,6.746599700000000439e+02
7.000000000000000000e+00,6.743599900000000389e+02
8.000000000000000000e+00,6.512800300000000107e+02
9.000000000000000000e+00,6.350300290000000132e+02
1.000000000000000000e+01,6.257700200000000450e+02
1.100000000000000000e+01,6.378300199999999904e+02
1.200000000000000000e+01,6.317399900000000343e+02
1.300000000000000000e+01,6.369799799999999550e+02
1.400000000000000000e+01,6.367100199999999859e+02
1.500000000000000000e+01,6.435599999999999454e+02
1.600000000000000000e+01,6.621500200000000405e+02
1.700000000000000000e+01,6.483200100000000248e+02
1.800000000000000000e+01,6.517800300000000107e+02
1.900000000000000000e+01,6.448799999999999955e+02
2.000000000000000000e+01,6.483200100000000248e+02
2.100000000000000000e+01,6.462399900000000343e+02
2.200000000000000000e+01,6.572199699999999893e+02
2.300000000000000000e+01,6.610399780000000192e+02
2.400000000000000000e+01,6.691200000000000045e+02
2.500000000000000000e+01,6.664099700000000439e+02
2.600000000000000000e+01,6.591099900000000389e+02
2.700000000000000000e+01,6.560399780000000192e+02
2.800000000000000000e+01,6.564000200000000405e+02
2.900000000000000000e+01,6.598200100000000248e+02
3.000000000000000000e+01,6.696799899999999752e+02
3.100000000000000000e+01,6.659699699999999893e+02
3.200000000000000000e+01,6.707299799999999550e+02
3.300000000000000000e+01,6.913300199999999904e+02
3.400000000000000000e+01,6.983599900000000389e+02
3.500000000000000000e+01,6.940300290000000132e+02
3.600000000000000000e+01,6.952399900000000343e+02
3.700000000000000000e+01,6.963799999999999955e+02
3.800000000000000000e+01,6.809400000000000546e+02
3.900000000000000000e+01,6.741900000000000546e+02
4.000000000000000000e+01,6.597100199999999859e+02
4.100000000000000000e+01,6.506699800000000096e+02
4.200000000000000000e+01,6.626799899999999752e+02
4.300000000000000000e+01,6.712000100000000202e+02
4.400000000000000000e+01,6.629699699999999893e+02
4.500000000000000000e+01,6.514600199999999859e+02
4.600000000000000000e+01,6.424099700000000439e+02
4.700000000000000000e+01,6.316599700000000439e+02
4.800000000000000000e+01,6.444799799999999550e+02
4.900000000000000000e+01,6.431400099999999611e+02
5.000000000000000000e+01,6.355700100000000248e+02
5.100000000000000000e+01,6.291799899999999752e+02
5.200000000000000000e+01,6.420200200000000450e+02
5.300000000000000000e+01,6.450999759999999696e+02
5.400000000000000000e+01,6.447500000000000000e+02
5.500000000000000000e+01,6.338300199999999904e+02
5.600000000000000000e+01,6.506400099999999611e+02
5.700000000000000000e+01,6.693300199999999904e+02
5.800000000000000000e+01,6.667000100000000202e+02
5.900000000000000000e+01,6.713900099999999611e+02
6.000000000000000000e+01,6.615300300000000107e+02
6.100000000000000000e+01,6.550000000000000000e+02
6.200000000000000000e+01,6.605200200000000450e+02
6.300000000000000000e+01,6.722999899999999798e+02
6.400000000000000000e+01,6.735800199999999904e+02
6.500000000000000000e+01,6.575499899999999798e+02
6.600000000000000000e+01,6.688400299999999561e+02
6.700000000000000000e+01,6.818599900000000389e+02
6.800000000000000000e+01,6.764899900000000343e+02
6.900000000000000000e+01,6.849199800000000096e+02
7.000000000000000000e+01,6.782299799999999550e+02
7.100000000000000000e+01,6.805800199999999904e+02
7.200000000000000000e+01,6.844000200000000405e+02
7.300000000000000000e+01,6.823799999999999955e+02
7.400000000000000000e+01,6.890900269999999637e+02
7.500000000000000000e+01,6.924500100000000202e+02
7.600000000000000000e+01,7.111900000000000546e+02
7.700000000000000000e+01,7.027800300000000107e+02
7.800000000000000000e+01,6.909500100000000202e+02
7.900000000000000000e+01,6.890399780000000192e+02
8.000000000000000000e+01,6.793799999999999955e+02
8.100000000000000000e+01,6.804500100000000202e+02
8.200000000000000000e+01,6.801699800000000096e+02
8.300000000000000000e+01,6.846400099999999611e+02
8.400000000000000000e+01,6.852199699999999893e+02
8.500000000000000000e+01,6.882100199999999859e+02
8.600000000000000000e+01,6.911400099999999611e+02
8.700000000000000000e+01,6.935800199999999904e+02
8.800000000000000000e+01,6.928300199999999904e+02
8.900000000000000000e+01,6.806299999999999955e+02
9.000000000000000000e+01,6.840999759999999696e+02
9.100000000000000000e+01,6.961699800000000096e+02
9.200000000000000000e+01,7.102000100000000202e+02
9.300000000000000000e+01,7.260000000000000000e+02
9.400000000000000000e+01,7.397999899999999798e+02
9.500000000000000000e+01,7.280300290000000132e+02
9.600000000000000000e+01,7.278700000000000045e+02
9.700000000000000000e+01,7.389299899999999752e+02
9.800000000000000000e+01,7.472999899999999798e+02
9.900000000000000000e+01,7.508799999999999955e+02
1.000000000000000000e+02,7.512100199999999859e+02
1.010000000000000000e+02,7.565800199999999904e+02
1.020000000000000000e+02,7.460200200000000450e+02
1.030000000000000000e+02,7.431599700000000439e+02
1.040000000000000000e+02,7.290700070000000323e+02
1.050000000000000000e+02,7.383400299999999561e+02
1.060000000000000000e+02,7.388499799999999595e+02
1.070000000000000000e+02,7.322600099999999657e+02
1.080000000000000000e+02,7.174400000000000546e+02
1.090000000000000000e+02,7.101699800000000096e+02
1.100000000000000000e+02,7.102800300000000107e+02
1.110000000000000000e+02,7.125499899999999798e+02
1.120000000000000000e+02,6.969799799999999550e+02
1.130000000000000000e+02,6.920900269999999637e+02
1.140000000000000000e+02,6.970100099999999657e+02
1.150000000000000000e+02,6.956099900000000389e+02
1.160000000000000000e+02,6.929299899999999752e+02
1.170000000000000000e+02,6.728200100000000248e+02
1.180000000000000000e+02,6.722399900000000343e+02
1.190000000000000000e+02,6.740000000000000000e+02
1.200000000000000000e+02,6.702500000000000000e+02
1.210000000000000000e+02,6.715900299999999561e+02
1.220000000000000000e+02,6.658400299999999561e+02
1.230000000000000000e+02,6.787700200000000450e+02
1.240000000000000000e+02,6.731599700000000439e+02
1.250000000000000000e+02,6.759600199999999859e+02
1.260000000000000000e+02,6.790000000000000000e+02
1.270000000000000000e+02,6.910300290000000132e+02
1.280000000000000000e+02,6.958099999999999454e+02
1.290000000000000000e+02,7.005399800000000141e+02
1.300000000000000000e+02,7.061900000000000546e+02
1.310000000000000000e+02,6.959299899999999752e+02
1.320000000000000000e+02,6.941799899999999752e+02
1.330000000000000000e+02,6.910599979999999505e+02
1.340000000000000000e+02,6.906200000000000045e+02
