index,close
0.000000000000000000e+00,1.004500000000000028e+02
1.000000000000000000e+00,9.960999999999999943e+01
2.000000000000000000e+00,9.854000000000000625e+01
3.000000000000000000e+00,9.892000000000000171e+01
4.000000000000000000e+00,1.011400000000000006e+02
5.000000000000000000e+00,1.006599999999999966e+02
6.000000000000000000e+00,9.905999799999999311e+01
7.000000000000000000e+00,9.929999999999999716e+01
8.000000000000000000e+00,9.614000000000000057e+01
9.000000000000000000e+00,9.356999999999999318e+01
1.000000000000000000e+01,9.259999999999999432e+01
1.100000000000000000e+01,9.335999999999999943e+01
1.200000000000000000e+01,9.309999799999999937e+01
1.300000000000000000e+01,9.429000000000000625e+01
1.400000000000000000e+01,9.320000000000000284e+01
1.500000000000000000e+01,9.421999999999999886e+01
1.600000000000000000e+01,9.654000000000000625e+01
1.700000000000000000e+01,9.490000000000000568e+01
1.800000000000000000e+01,9.582999999999999829e+01
1.900000000000000000e+01,9.408000199999999325e+01
2.000000000000000000e+01,9.562000000000000455e+01
2.100000000000000000e+01,9.481999999999999318e+01
2.200000000000000000e+01,9.687000000000000455e+01
2.300000000000000000e+01,9.809999799999999937e+01
2.400000000000000000e+01,1.001299999999999955e+02
2.500000000000000000e+01,9.976000000000000512e+01
2.600000000000000000e+01,9.956999999999999318e+01
2.700000000000000000e+01,9.990999999999999659e+01
2.800000000000000000e+01,9.996999999999999886e+01
2.900000000000000000e+01,1.008100000000000023e+02
3.000000000000000000e+01,1.004200000000000017e+02
3.100000000000000000e+01,9.793999999999999773e+01
3.200000000000000000e+01,1.008400000000000034e+02
3.300000000000000000e+01,9.990000000000000568e+01
3.400000000000000000e+01,1.002999999999999972e+02
3.500000000000000000e+01,1.009300000000000068e+02
3.600000000000000000e+01,9.875000000000000000e+01
3.700000000000000000e+01,9.806999999999999318e+01
3.800000000000000000e+01,9.956999999999999318e+01
3.900000000000000000e+01,9.968000000000000682e+01
4.000000000000000000e+01,9.801000200000000007e+01
4.100000000000000000e+01,9.660999999999999943e+01
4.200000000000000000e+01,9.993000000000000682e+01
4.300000000000000000e+01,1.025000000000000000e+02
4.400000000000000000e+01,1.022099999999999937e+02
4.500000000000000000e+01,1.005999999999999943e+02
4.600000000000000000e+01,1.008599999999999994e+02
4.700000000000000000e+01,9.745000000000000284e+01
4.800000000000000000e+01,1.005199999999999960e+02
4.900000000000000000e+01,1.029699999999999989e+02
5.000000000000000000e+01,1.021800000000000068e+02
5.100000000000000000e+01,1.011400000000000006e+02
5.200000000000000000e+01,9.231000000000000227e+01
5.300000000000000000e+01,9.198999999999999488e+01
5.400000000000000000e+01,9.285999999999999943e+01
5.500000000000000000e+01,9.098000000000000398e+01
5.600000000000000000e+01,9.276999999999999602e+01
5.700000000000000000e+01,9.376000000000000512e+01
5.800000000000000000e+01,9.134999999999999432e+01
5.900000000000000000e+01,9.181999999999999318e+01
6.000000000000000000e+01,8.981999999999999318e+01
6.100000000000000000e+01,8.906999999999999318e+01
6.200000000000000000e+01,8.814000000000000057e+01
6.300000000000000000e+01,8.829000000000000625e+01
6.400000000000000000e+01,8.781999999999999318e+01
6.500000000000000000e+01,8.795999999999999375e+01
6.600000000000000000e+01,8.859000000000000341e+01
6.700000000000000000e+01,9.076999999999999602e+01
6.800000000000000000e+01,9.100000000000000000e+01
6.900000000000000000e+01,9.215999999999999659e+01
7.000000000000000000e+01,9.251999999999999602e+01
7.100000000000000000e+01,9.253000000000000114e+01
7.200000000000000000e+01,9.193000000000000682e+01
7.300000000000000000e+01,9.314000000000000057e+01
7.400000000000000000e+01,9.384999999999999432e+01
7.500000000000000000e+01,9.245000000000000284e+01
7.600000000000000000e+01,9.293999999999999773e+01
7.700000000000000000e+01,9.131999999999999318e+01
7.800000000000000000e+01,8.975000000000000000e+01
7.900000000000000000e+01,8.864000000000000057e+01
8.000000000000000000e+01,8.848999999999999488e+01
8.100000000000000000e+01,8.809999799999999937e+01
8.200000000000000000e+01,8.870000000000000284e+01
8.300000000000000000e+01,8.905999799999999311e+01
8.400000000000000000e+01,8.882999999999999829e+01
8.500000000000000000e+01,8.895000000000000284e+01
8.600000000000000000e+01,8.928000000000000114e+01
8.700000000000000000e+01,9.050000000000000000e+01
8.800000000000000000e+01,8.979000000000000625e+01
8.900000000000000000e+01,8.873999999999999488e+01
9.000000000000000000e+01,8.864000000000000057e+01
9.100000000000000000e+01,8.809999799999999937e+01
9.200000000000000000e+01,8.948999999999999488e+01
9.300000000000000000e+01,9.015000000000000568e+01
9.400000000000000000e+01,9.046999999999999886e+01
9.500000000000000000e+01,8.862000000000000455e+01
9.600000000000000000e+01,8.556000000000000227e+01
9.700000000000000000e+01,8.595000000000000284e+01
9.800000000000000000e+01,8.704000100000000373e+01
9.900000000000000000e+01,8.620999999999999375e+01
1.000000000000000000e+02,8.718000000000000682e+01
1.010000000000000000e+02,8.659999999999999432e+01
1.020000000000000000e+02,8.562999999999999545e+01
1.030000000000000000e+02,8.585999999999999943e+01
1.040000000000000000e+02,8.535999999999999943e+01
1.050000000000000000e+02,8.612999999999999545e+01
1.060000000000000000e+02,8.889000000000000057e+01
1.070000000000000000e+02,8.902999900000000366e+01
1.080000000000000000e+02,8.629999999999999716e+01
1.090000000000000000e+02,8.548999999999999488e+01
1.100000000000000000e+02,8.629999999999999716e+01
1.110000000000000000e+02,8.682999999999999829e+01
1.120000000000000000e+02,8.812999999999999545e+01
1.130000000000000000e+02,8.748999999999999488e+01
1.140000000000000000e+02,9.176000000000000512e+01
1.150000000000000000e+02,8.901999700000000360e+01
1.160000000000000000e+02,8.881000000000000227e+01
1.170000000000000000e+02,8.705999799999999311e+01
1.180000000000000000e+02,8.634999999999999432e+01
1.190000000000000000e+02,8.592000000000000171e+01
1.200000000000000000e+02,8.595999999999999375e+01
1.210000000000000000e+02,8.587999999999999545e+01
1.220000000000000000e+02,8.579000000000000625e+01
1.230000000000000000e+02,8.582999999999999829e+01
1.240000000000000000e+02,8.246999999999999886e+01
1.250000000000000000e+02,8.335999999999999943e+01
1.260000000000000000e+02,8.415999999999999659e+01
1.270000000000000000e+02,8.440000000000000568e+01
1.280000000000000000e+02,8.428000000000000114e+01
1.290000000000000000e+02,8.368000000000000682e+01
1.300000000000000000e+02,8.164000000000000057e+01
1.310000000000000000e+02,8.118999999999999773e+01
1.320000000000000000e+02,8.098000000000000398e+01
1.330000000000000000e+02,8.056999999999999318e+01
1.340000000000000000e+02,8.157999999999999829e+01
1.350000000000000000e+02,8.251999999999999602e+01
1.360000000000000000e+02,8.368000000000000682e+01
1.370000000000000000e+02,8.348000000000000398e+01
1.380000000000000000e+02,8.448000000000000398e+01
1.390000000000000000e+02,8.557999999999999829e+01
1.400000000000000000e+02,8.501999700000000360e+01
1.410000000000000000e+02,8.193999999999999773e+01
1.420000000000000000e+02,8.256000000000000227e+01
1.430000000000000000e+02,8.273000000000000398e+01
1.440000000000000000e+02,8.125000000000000000e+01
1.450000000000000000e+02,8.101000200000000007e+01
1.460000000000000000e+02,8.005000300000000379e+01
1.470000000000000000e+02,7.990000000000000568e+01
1.480000000000000000e+02,8.012999999999999545e+01
1.490000000000000000e+02,8.105000300000000379e+01
1.500000000000000000e+02,8.167000000000000171e+01
1.510000000000000000e+02,7.954000000000000625e+01
1.520000000000000000e+02,7.931999999999999318e+01
1.530000000000000000e+02,8.081000000000000227e+01
1.540000000000000000e+02,8.293999999999999773e+01
1.550000000000000000e+02,8.470000000000000284e+01
1.560000000000000000e+02,8.498999999999999488e+01
1.570000000000000000e+02,8.484999999999999432e+01
1.580000000000000000e+02,8.434999999999999432e+01
1.590000000000000000e+02,8.434999999999999432e+01
1.600000000000000000e+02,8.570999999999999375e+01
1.610000000000000000e+02,8.620000000000000284e+01
1.620000000000000000e+02,8.468000000000000682e+01
1.630000000000000000e+02,8.325000000000000000e+01
1.640000000000000000e+02,8.265000000000000568e+01
1.650000000000000000e+02,8.309999799999999937e+01
1.660000000000000000e+02,8.256000000000000227e+01
1.670000000000000000e+02,8.059000000000000341e+01
1.680000000000000000e+02,7.978000000000000114e+01
1.690000000000000000e+02,7.932999999999999829e+01
1.700000000000000000e+02,8.068000000000000682e+01
1.710000000000000000e+02,8.159000000000000341e+01
1.720000000000000000e+02,8.106999999999999318e+01
1.730000000000000000e+02,8.329000000000000625e+01
1.740000000000000000e+02,8.506999999999999318e+01
1.750000000000000000e+02,8.401999700000000360e+01
1.760000000000000000e+02,8.459000000000000341e+01
1.770000000000000000e+02,8.450000000000000000e+01
1.780000000000000000e+02,9.034000000000000341e+01
1.790000000000000000e+02,8.826999999999999602e+01
1.800000000000000000e+02,8.943999999999999773e+01
1.810000000000000000e+02,9.106999999999999318e+01
1.820000000000000000e+02,9.393000000000000682e+01
1.830000000000000000e+02,9.451000000000000512e+01
1.840000000000000000e+02,9.415000000000000568e+01
1.850000000000000000e+02,9.502999900000000366e+01
1.860000000000000000e+02,9.445000000000000284e+01
1.870000000000000000e+02,9.506999999999999318e+01
1.880000000000000000e+02,9.605999799999999311e+01
1.890000000000000000e+02,9.517000000000000171e+01
1.900000000000000000e+02,9.250000000000000000e+01
1.910000000000000000e+02,9.250000000000000000e+01
1.920000000000000000e+02,9.268999999999999773e+01
1.930000000000000000e+02,9.257999999999999829e+01
1.940000000000000000e+02,9.201000200000000007e+01
1.950000000000000000e+02,9.079000000000000625e+01
1.960000000000000000e+02,9.150000000000000000e+01
1.970000000000000000e+02,9.234999999999999432e+01
1.980000000000000000e+02,9.281999999999999318e+01
1.990000000000000000e+02,9.220000000000000284e+01
2.000000000000000000e+02,9.106999999999999318e+01
2.010000000000000000e+02,9.282999999999999829e+01
2.020000000000000000e+02,9.393999999999999773e+01
2.030000000000000000e+02,9.345999999999999375e+01
2.040000000000000000e+02,9.285999999999999943e+01
2.050000000000000000e+02,9.393000000000000682e+01
2.060000000000000000e+02,9.126999999999999602e+01
2.070000000000000000e+02,9.201999700000000360e+01
2.080000000000000000e+02,9.101999700000000360e+01
2.090000000000000000e+02,9.095000000000000284e+01
2.100000000000000000e+02,9.037999999999999545e+01
2.110000000000000000e+02,9.040000000000000568e+01
2.120000000000000000e+02,9.029000000000000625e+01
2.130000000000000000e+02,9.070999999999999375e+01
2.140000000000000000e+02,9.165000000000000568e+01
2.150000000000000000e+02,9.056000000000000227e+01
2.160000000000000000e+02,9.090000000000000568e+01
2.170000000000000000e+02,9.154999999999999716e+01
2.180000000000000000e+02,8.967000000000000171e+01
2.190000000000000000e+02,8.929000000000000625e+01
2.200000000000000000e+02,8.945000000000000284e+01
2.210000000000000000e+02,9.034999999999999432e+01
2.220000000000000000e+02,9.305000300000000379e+01
2.230000000000000000e+02,9.034000000000000341e+01
2.240000000000000000e+02,9.220999999999999375e+01
2.250000000000000000e+02,9.305999799999999311e+01
2.260000000000000000e+02,9.508000199999999325e+01
2.270000000000000000e+02,9.376999999999999602e+01
2.280000000000000000e+02,9.350000000000000000e+01
