index,close
0.000000000000000000e+00,9.084999999999999432e+01
1.000000000000000000e+00,8.934999999999999432e+01
2.000000000000000000e+00,8.815000000000000568e+01
3.000000000000000000e+00,8.960999999999999943e+01
4.000000000000000000e+00,9.068999999999999773e+01
5.000000000000000000e+00,9.162999999999999545e+01
6.000000000000000000e+00,9.065999999999999659e+01
7.000000000000000000e+00,9.168999999999999773e+01
8.000000000000000000e+00,9.129000000000000625e+01
9.000000000000000000e+00,9.062000000000000455e+01
1.000000000000000000e+01,9.279000000000000625e+01
1.100000000000000000e+01,9.401000200000000007e+01
1.200000000000000000e+01,9.564000000000000057e+01
1.300000000000000000e+01,9.629999999999999716e+01
1.400000000000000000e+01,9.562999999999999545e+01
1.500000000000000000e+01,9.690999999999999659e+01
1.600000000000000000e+01,9.318999999999999773e+01
1.700000000000000000e+01,9.209999799999999937e+01
1.800000000000000000e+01,9.173000000000000398e+01
1.900000000000000000e+01,9.506999999999999318e+01
2.000000000000000000e+01,9.456999999999999318e+01
2.100000000000000000e+01,9.439000000000000057e+01
2.200000000000000000e+01,9.510999999999999943e+01
2.300000000000000000e+01,9.471999999999999886e+01
2.400000000000000000e+01,9.567000000000000171e+01
2.500000000000000000e+01,9.508999599999999930e+01
2.600000000000000000e+01,9.601999700000000360e+01
2.700000000000000000e+01,9.851000000000000512e+01
2.800000000000000000e+01,9.896999999999999886e+01
2.900000000000000000e+01,9.920999999999999375e+01
3.000000000000000000e+01,9.910999999999999943e+01
3.100000000000000000e+01,9.868999999999999773e+01
3.200000000000000000e+01,9.808000199999999325e+01
3.300000000000000000e+01,9.668000000000000682e+01
3.400000000000000000e+01,9.787000000000000455e+01
3.500000000000000000e+01,9.751999999999999602e+01
3.600000000000000000e+01,9.814000000000000057e+01
3.700000000000000000e+01,9.865999999999999659e+01
3.800000000000000000e+01,9.904000100000000373e+01
3.900000000000000000e+01,9.984000000000000341e+01
4.000000000000000000e+01,1.004000000000000057e+02
4.100000000000000000e+01,9.914000000000000057e+01
4.200000000000000000e+01,9.918000000000000682e+01
4.300000000000000000e+01,9.846999999999999886e+01
4.400000000000000000e+01,9.910999999999999943e+01
4.500000000000000000e+01,9.856999999999999318e+01
4.600000000000000000e+01,9.804000100000000373e+01
4.700000000000000000e+01,9.851999999999999602e+01
4.800000000000000000e+01,9.948999999999999488e+01
4.900000000000000000e+01,9.901000200000000007e+01
5.000000000000000000e+01,9.876999999999999602e+01
5.100000000000000000e+01,9.940999999999999659e+01
5.200000000000000000e+01,9.895999999999999375e+01
5.300000000000000000e+01,9.951999999999999602e+01
5.400000000000000000e+01,9.848000000000000398e+01
5.500000000000000000e+01,9.650000000000000000e+01
5.600000000000000000e+01,9.590000000000000568e+01
5.700000000000000000e+01,9.535999999999999943e+01
5.800000000000000000e+01,9.518999999999999773e+01
5.900000000000000000e+01,9.465000000000000568e+01
6.000000000000000000e+01,9.387999999999999545e+01
6.100000000000000000e+01,9.350000000000000000e+01
6.200000000000000000e+01,9.321999999999999886e+01
6.300000000000000000e+01,9.268999999999999773e+01
6.400000000000000000e+01,9.256000000000000227e+01
6.500000000000000000e+01,9.329999999999999716e+01
6.600000000000000000e+01,9.181999999999999318e+01
6.700000000000000000e+01,9.176000000000000512e+01
6.800000000000000000e+01,9.295000000000000284e+01
6.900000000000000000e+01,9.240999999999999659e+01
7.000000000000000000e+01,9.354000000000000625e+01
7.100000000000000000e+01,9.400000000000000000e+01
7.200000000000000000e+01,9.348999999999999488e+01
7.300000000000000000e+01,9.262999999999999545e+01
7.400000000000000000e+01,9.202999900000000366e+01
7.500000000000000000e+01,9.239000000000000057e+01
7.600000000000000000e+01,9.301999700000000360e+01
7.700000000000000000e+01,9.296999999999999886e+01
7.800000000000000000e+01,9.201999700000000360e+01
7.900000000000000000e+01,9.292000000000000171e+01
8.000000000000000000e+01,9.212000000000000455e+01
8.100000000000000000e+01,9.073999999999999488e+01
8.200000000000000000e+01,9.168000000000000682e+01
8.300000000000000000e+01,9.198000000000000398e+01
8.400000000000000000e+01,9.010999999999999943e+01
8.500000000000000000e+01,8.956999999999999318e+01
8.600000000000000000e+01,9.040000000000000568e+01
8.700000000000000000e+01,9.105000300000000379e+01
8.800000000000000000e+01,9.284999999999999432e+01
8.900000000000000000e+01,9.217000000000000171e+01
9.000000000000000000e+01,9.202999900000000366e+01
9.100000000000000000e+01,9.139000000000000057e+01
9.200000000000000000e+01,9.254000000000000625e+01
9.300000000000000000e+01,9.308999599999999930e+01
9.400000000000000000e+01,9.376999999999999602e+01
9.500000000000000000e+01,9.308000199999999325e+01
9.600000000000000000e+01,9.242000000000000171e+01
9.700000000000000000e+01,9.214000000000000057e+01
9.800000000000000000e+01,9.348999999999999488e+01
9.900000000000000000e+01,9.589000000000000057e+01
1.000000000000000000e+02,9.712999999999999545e+01
1.010000000000000000e+02,9.712999999999999545e+01
1.020000000000000000e+02,9.770999999999999375e+01
1.030000000000000000e+02,9.750000000000000000e+01
1.040000000000000000e+02,9.575000000000000000e+01
1.050000000000000000e+02,9.564000000000000057e+01
1.060000000000000000e+02,9.485999999999999943e+01
1.070000000000000000e+02,9.334000000000000341e+01
1.080000000000000000e+02,9.332999999999999829e+01
1.090000000000000000e+02,9.032999999999999829e+01
1.100000000000000000e+02,8.931000000000000227e+01
1.110000000000000000e+02,9.062000000000000455e+01
1.120000000000000000e+02,9.118999999999999773e+01
1.130000000000000000e+02,9.095999999999999375e+01
1.140000000000000000e+02,9.040999999999999659e+01
1.150000000000000000e+02,9.082999999999999829e+01
1.160000000000000000e+02,8.956000000000000227e+01
1.170000000000000000e+02,8.768000000000000682e+01
1.180000000000000000e+02,8.882999999999999829e+01
1.190000000000000000e+02,8.825000000000000000e+01
1.200000000000000000e+02,8.931999999999999318e+01
1.210000000000000000e+02,8.870999999999999375e+01
1.220000000000000000e+02,8.937999999999999545e+01
1.230000000000000000e+02,9.004000100000000373e+01
1.240000000000000000e+02,8.945999999999999375e+01
1.250000000000000000e+02,8.987999999999999545e+01
1.260000000000000000e+02,8.970999999999999375e+01
1.270000000000000000e+02,9.008000199999999325e+01
1.280000000000000000e+02,8.982999999999999829e+01
1.290000000000000000e+02,8.895999999999999375e+01
1.300000000000000000e+02,8.834999999999999432e+01
1.310000000000000000e+02,8.651000000000000512e+01
1.320000000000000000e+02,8.679999999999999716e+01
1.330000000000000000e+02,8.851000000000000512e+01
1.340000000000000000e+02,8.925000000000000000e+01
1.350000000000000000e+02,8.973000000000000398e+01
1.360000000000000000e+02,9.020000000000000284e+01
1.370000000000000000e+02,9.145999999999999375e+01
1.380000000000000000e+02,9.237999999999999545e+01
1.390000000000000000e+02,9.148999999999999488e+01
1.400000000000000000e+02,9.156999999999999318e+01
1.410000000000000000e+02,9.117000000000000171e+01
1.420000000000000000e+02,9.150000000000000000e+01
1.430000000000000000e+02,9.085999999999999943e+01
1.440000000000000000e+02,9.082999999999999829e+01
