index,close
0.000000000000000000e+00,2.662500000000000000e+02
1.000000000000000000e+00,2.655499899999999798e+02
2.000000000000000000e+00,2.635899999999999750e+02
3.000000000000000000e+00,2.652600100000000225e+02
4.000000000000000000e+00,2.692000100000000202e+02
5.000000000000000000e+00,2.696299999999999955e+02
6.000000000000000000e+00,2.642000100000000202e+02
7.000000000000000000e+00,2.636600000000000250e+02
8.000000000000000000e+00,2.597600100000000225e+02
9.000000000000000000e+00,2.529499999999999886e+02
1.000000000000000000e+01,2.513100000000000023e+02
1.100000000000000000e+01,2.524799999999999898e+02
1.200000000000000000e+01,2.461699999999999875e+02
1.300000000000000000e+01,2.529199999999999875e+02
1.400000000000000000e+01,2.500000000000000000e+02
1.500000000000000000e+01,2.525500000000000114e+02
1.600000000000000000e+01,2.576200000000000045e+02
1.700000000000000000e+01,2.532700000000000102e+02
1.800000000000000000e+01,2.716600000000000250e+02
1.900000000000000000e+01,2.720000000000000000e+02
2.000000000000000000e+01,2.739599900000000048e+02
2.100000000000000000e+01,2.750000000000000000e+02
2.200000000000000000e+01,2.799399999999999977e+02
2.300000000000000000e+01,2.826600000000000250e+02
2.400000000000000000e+01,2.858100000000000023e+02
2.500000000000000000e+01,2.858399999999999750e+02
2.600000000000000000e+01,2.858399999999999750e+02
2.700000000000000000e+01,2.813299900000000093e+02
2.800000000000000000e+01,2.817000100000000202e+02
2.900000000000000000e+01,2.816799899999999752e+02
3.000000000000000000e+01,2.863299900000000093e+02
3.100000000000000000e+01,2.837600100000000225e+02
3.200000000000000000e+01,2.852699900000000071e+02
3.300000000000000000e+01,2.792500000000000000e+02
3.400000000000000000e+01,2.799800099999999929e+02
3.500000000000000000e+01,2.799599900000000048e+02
3.600000000000000000e+01,2.798999900000000025e+02
3.700000000000000000e+01,2.755499899999999798e+02
3.800000000000000000e+01,2.763299900000000093e+02
3.900000000000000000e+01,2.772500000000000000e+02
4.000000000000000000e+01,2.707000100000000202e+02
4.100000000000000000e+01,2.712099900000000048e+02
4.200000000000000000e+01,2.754500100000000202e+02
4.300000000000000000e+01,2.802900099999999952e+02
4.400000000000000000e+01,2.794200099999999907e+02
4.500000000000000000e+01,2.767399899999999775e+02
4.600000000000000000e+01,2.751799899999999752e+02
4.700000000000000000e+01,2.665000000000000000e+02
4.800000000000000000e+01,2.656499900000000025e+02
4.900000000000000000e+01,2.648200100000000248e+02
5.000000000000000000e+01,2.634800099999999929e+02
5.100000000000000000e+01,2.688900100000000180e+02
5.200000000000000000e+01,2.722699900000000071e+02
5.300000000000000000e+01,2.771899999999999977e+02
5.400000000000000000e+01,2.775100100000000225e+02
5.500000000000000000e+01,2.791899999999999977e+02
5.600000000000000000e+01,2.846299999999999955e+02
5.700000000000000000e+01,2.874800099999999929e+02
5.800000000000000000e+01,2.899100000000000250e+02
5.900000000000000000e+01,2.909500100000000202e+02
6.000000000000000000e+01,2.881000099999999975e+02
6.100000000000000000e+01,2.868200100000000248e+02
6.200000000000000000e+01,2.917600100000000225e+02
6.300000000000000000e+01,3.036000099999999975e+02
6.400000000000000000e+01,3.084299899999999752e+02
6.500000000000000000e+01,3.059200099999999907e+02
6.600000000000000000e+01,3.052000100000000202e+02
6.700000000000000000e+01,3.113900100000000180e+02
6.800000000000000000e+01,3.044500100000000202e+02
6.900000000000000000e+01,3.080400089999999977e+02
7.000000000000000000e+01,3.110299989999999752e+02
7.100000000000000000e+01,3.073299900000000093e+02
7.200000000000000000e+01,3.087200000000000273e+02
7.300000000000000000e+01,3.114800099999999929e+02
7.400000000000000000e+01,3.151600000000000250e+02
7.500000000000000000e+01,3.150499879999999848e+02
7.600000000000000000e+01,3.237699900000000071e+02
7.700000000000000000e+01,3.195400099999999952e+02
7.800000000000000000e+01,3.173999900000000025e+02
7.900000000000000000e+01,3.132000100000000202e+02
8.000000000000000000e+01,3.072500000000000000e+02
8.100000000000000000e+01,2.984299899999999752e+02
8.200000000000000000e+01,2.974100000000000250e+02
8.300000000000000000e+01,3.008100000000000023e+02
8.400000000000000000e+01,3.017200000000000273e+02
8.500000000000000000e+01,3.083299900000000093e+02
8.600000000000000000e+01,3.085799900000000093e+02
8.700000000000000000e+01,3.109700000000000273e+02
8.800000000000000000e+01,3.098999900000000025e+02
8.900000000000000000e+01,3.079700000000000273e+02
9.000000000000000000e+01,3.057600100000000225e+02
9.100000000000000000e+01,3.084500100000000202e+02
9.200000000000000000e+01,3.097200000000000273e+02
9.300000000000000000e+01,3.138799999999999955e+02
9.400000000000000000e+01,3.152099900000000048e+02
9.500000000000000000e+01,3.157699900000000071e+02
9.600000000000000000e+01,3.197799999999999727e+02
9.700000000000000000e+01,3.224299899999999752e+02
9.800000000000000000e+01,3.187999899999999798e+02
9.900000000000000000e+01,3.124700000000000273e+02
1.000000000000000000e+02,3.147999899999999798e+02
1.010000000000000000e+02,3.132900099999999952e+02
1.020000000000000000e+02,3.175899999999999750e+02
1.030000000000000000e+02,3.165100100000000225e+02
1.040000000000000000e+02,3.188200100000000248e+02
1.050000000000000000e+02,3.155499899999999798e+02
1.060000000000000000e+02,3.163500099999999975e+02
1.070000000000000000e+02,3.209700000000000273e+02
1.080000000000000000e+02,3.177799999999999727e+02
1.090000000000000000e+02,3.171299999999999955e+02
1.100000000000000000e+02,3.120000000000000000e+02
1.110000000000000000e+02,3.158700000000000045e+02
1.120000000000000000e+02,3.151499900000000025e+02
1.130000000000000000e+02,3.115299999999999727e+02
1.140000000000000000e+02,3.104100000000000250e+02
1.150000000000000000e+02,3.090499879999999848e+02
1.160000000000000000e+02,3.117099900000000048e+02
1.170000000000000000e+02,3.073999900000000025e+02
1.180000000000000000e+02,3.076400100000000180e+02
1.190000000000000000e+02,3.056400100000000180e+02
1.200000000000000000e+02,3.029399999999999977e+02
1.210000000000000000e+02,3.065100100000000225e+02
1.220000000000000000e+02,3.088999900000000025e+02
1.230000000000000000e+02,3.153399999999999750e+02
1.240000000000000000e+02,3.141400100000000180e+02
1.250000000000000000e+02,3.187600100000000225e+02
1.260000000000000000e+02,3.209100000000000250e+02
1.270000000000000000e+02,3.234500100000000202e+02
1.280000000000000000e+02,3.232500000000000000e+02
1.290000000000000000e+02,3.237699900000000071e+02
1.300000000000000000e+02,3.277399899999999775e+02
