index,close
0.000000000000000000e+00,1.597599899999999877e+02
1.000000000000000000e+00,1.593700000000000045e+02
2.000000000000000000e+00,1.585200000000000102e+02
3.000000000000000000e+00,1.619299900000000036e+02
4.000000000000000000e+00,1.633999900000000025e+02
5.000000000000000000e+00,1.610000000000000000e+02
6.000000000000000000e+00,1.578200099999999964e+02
7.000000000000000000e+00,1.597400100000000123e+02
8.000000000000000000e+00,1.576499900000000025e+02
9.000000000000000000e+00,1.580700070000000039e+02
1.000000000000000000e+01,1.578000000000000114e+02
1.100000000000000000e+01,1.605900000000000034e+02
1.200000000000000000e+01,1.592299999999999898e+02
1.300000000000000000e+01,1.587700000000000102e+02
1.400000000000000000e+01,1.545800000000000125e+02
1.500000000000000000e+01,1.562899899999999889e+02
1.600000000000000000e+01,1.577899899999999889e+02
1.700000000000000000e+01,1.556100000000000136e+02
1.800000000000000000e+01,1.570399930000000097e+02
1.900000000000000000e+01,1.603600000000000136e+02
2.000000000000000000e+01,1.602100100000000111e+02
2.100000000000000000e+01,1.601799900000000036e+02
2.200000000000000000e+01,1.622299999999999898e+02
2.300000000000000000e+01,1.632800000000000011e+02
2.400000000000000000e+01,1.655300000000000011e+02
2.500000000000000000e+01,1.660200040000000001e+02
2.600000000000000000e+01,1.648700000000000045e+02
2.700000000000000000e+01,1.661000099999999975e+02
2.800000000000000000e+01,1.670399930000000097e+02
2.900000000000000000e+01,1.659600100000000111e+02
3.000000000000000000e+01,1.651399999999999864e+02
3.100000000000000000e+01,1.642500000000000000e+02
3.200000000000000000e+01,1.667500000000000000e+02
3.300000000000000000e+01,1.643700000000000045e+02
3.400000000000000000e+01,1.639499999999999886e+02
3.500000000000000000e+01,1.642899899999999889e+02
3.600000000000000000e+01,1.646599999999999966e+02
3.700000000000000000e+01,1.643500099999999975e+02
3.800000000000000000e+01,1.656000099999999975e+02
3.900000000000000000e+01,1.660800020000000075e+02
4.000000000000000000e+01,1.643000000000000114e+02
4.100000000000000000e+01,1.625800000000000125e+02
4.200000000000000000e+01,1.661599999999999966e+02
4.300000000000000000e+01,1.678400000000000034e+02
4.400000000000000000e+01,1.687800000000000011e+02
4.500000000000000000e+01,1.742800000000000011e+02
4.600000000000000000e+01,1.733400000000000034e+02
4.700000000000000000e+01,1.723600000000000136e+02
4.800000000000000000e+01,1.736699999999999875e+02
4.900000000000000000e+01,1.728300000000000125e+02
